EID_100001, Smith, Amélie, (024) 777 439 391, amélie.smith@heig-vd.ch, FEMALE, EC, Admin
EID_100002, Dupont, Dorothé, (024) 777 152 170, dorothé.dupont@heig-vd.ch, FEMALE, DEPG, Professor
EID_100003, Dupont, Georgette, (024) 777 485 426, georgette.dupont@heig-vd.ch, FEMALE, TIN, Admin
EID_100004, De Villiers, Charles, (024) 777 736 115, charles.de villiers@heig-vd.ch, MALE, TIC, Assistant
EID_100005, Jones, Marc, (024) 777 689 102, marc.jones@heig-vd.ch, MALE, COMEM, Assistant
EID_100006, Smith, Dorothé, (024) 777 437 679, dorothé.smith@heig-vd.ch, FEMALE, COMEM, Professor
EID_100007, Simpson, Henri, (024) 777 690 389, henri.simpson@heig-vd.ch, MALE, EC, Admin
EID_100008, Durant, Carole, (024) 777 667 237, carole.durant@heig-vd.ch, FEMALE, HEG, Professor
EID_100009, Dupont, Marc, (024) 777 113 606, marc.dupont@heig-vd.ch, MALE, TIC, Student
EID_100010, Bauer, Lucien, (024) 777 785 351, lucien.bauer@heig-vd.ch, MALE, TIC, Student
EID_100011, Smith, Fabien, (024) 777 505 407, fabien.smith@heig-vd.ch, MALE, EC, Assistant
EID_100012, De Decker, Emilie, (024) 777 835 339, emilie.de decker@heig-vd.ch, FEMALE, EC, Student
EID_100013, Belmondo, Cédric, (024) 777 412 296, cédric.belmondo@heig-vd.ch, MALE, TIN, Admin
EID_100014, Marchand, Bernadette, (024) 777 707 700, bernadette.marchand@heig-vd.ch, FEMALE, EC, Professor
EID_100015, Dupond, Dylan, (024) 777 113 127, dylan.dupond@heig-vd.ch, MALE, TIN, Assistant
EID_100016, Smith, Christine, (024) 777 358 798, christine.smith@heig-vd.ch, FEMALE, EC, Professor
EID_100017, Belmondo, Julie, (024) 777 396 116, julie.belmondo@heig-vd.ch, FEMALE, TIC, Admin
EID_100018, Durant, Amélie, (024) 777 394 596, amélie.durant@heig-vd.ch, FEMALE, DEPG, Admin
EID_100019, Delon, Julie, (024) 777 427 520, julie.delon@heig-vd.ch, FEMALE, HEG, Student
EID_100020, Dupond, Bryan, (024) 777 655 457, bryan.dupond@heig-vd.ch, MALE, TIN, Admin
EID_100021, Marchand, Faustine, (024) 777 252 888, faustine.marchand@heig-vd.ch, FEMALE, TIN, Assistant
EID_100022, De Decker, Danièle, (024) 777 855 410, danièle.de decker@heig-vd.ch, FEMALE, DEPG, Admin
EID_100023, Jones, Gontran, (024) 777 288 843, gontran.jones@heig-vd.ch, MALE, HEG, Assistant
EID_100024, Bauer, Edgar, (024) 777 640 718, edgar.bauer@heig-vd.ch, MALE, HEG, Professor
EID_100025, De Decker, Julie, (024) 777 403 532, julie.de decker@heig-vd.ch, FEMALE, TIC, Student
EID_100026, Clément, Georgette, (024) 777 734 505, georgette.clément@heig-vd.ch, FEMALE, TIN, Professor
EID_100027, Simpson, Emilie, (024) 777 682 511, emilie.simpson@heig-vd.ch, FEMALE, COMEM, Assistant
EID_100028, Clément, Didier, (024) 777 564 152, didier.clément@heig-vd.ch, MALE, TIN, Professor
EID_100029, Clément, Charles, (024) 777 174 470, charles.clément@heig-vd.ch, MALE, EC, Admin
EID_100030, Durant, Bryan, (024) 777 373 455, bryan.durant@heig-vd.ch, MALE, DEPG, Admin
EID_100031, De Decker, Frédéric, (024) 777 884 225, frédéric.de decker@heig-vd.ch, MALE, TIC, Student
EID_100032, Delon, Charles, (024) 777 516 814, charles.delon@heig-vd.ch, MALE, TIC, Assistant
EID_100033, Durant, Gilles, (024) 777 214 302, gilles.durant@heig-vd.ch, MALE, DEPG, Assistant
EID_100034, Dupont, Carole, (024) 777 718 308, carole.dupont@heig-vd.ch, FEMALE, TIN, Professor
EID_100035, Dupont, Julien, (024) 777 516 727, julien.dupont@heig-vd.ch, MALE, EC, Assistant
EID_100036, Belmondo, Frédéric, (024) 777 562 760, frédéric.belmondo@heig-vd.ch, MALE, TIN, Student
EID_100037, Simpson, Henriette, (024) 777 203 677, henriette.simpson@heig-vd.ch, FEMALE, TIC, Professor
EID_100038, Durant, Amélie, (024) 777 229 287, amélie.durant@heig-vd.ch, FEMALE, EC, Student
EID_100039, De Villiers, Danièle, (024) 777 597 230, danièle.de villiers@heig-vd.ch, FEMALE, HEG, Admin
EID_100040, Dupond, Christine, (024) 777 792 219, christine.dupond@heig-vd.ch, FEMALE, EC, Admin
EID_100041, Belmondo, Julie, (024) 777 610 586, julie.belmondo@heig-vd.ch, FEMALE, DEPG, Professor
EID_100042, Simpson, Julie, (024) 777 107 774, julie.simpson@heig-vd.ch, FEMALE, DEPG, Professor
EID_100043, Bauer, Aurore, (024) 777 303 115, aurore.bauer@heig-vd.ch, FEMALE, DEPG, Assistant
EID_100044, Delon, Albert, (024) 777 262 742, albert.delon@heig-vd.ch, MALE, TIC, Student
EID_100045, Dupond, Georgette, (024) 777 249 715, georgette.dupond@heig-vd.ch, FEMALE, TIC, Assistant
EID_100046, Simpson, Henriette, (024) 777 300 468, henriette.simpson@heig-vd.ch, FEMALE, TIN, Admin
EID_100047, Smith, Jimmy, (024) 777 576 526, jimmy.smith@heig-vd.ch, MALE, HEG, Admin
EID_100048, Dupont, Marc, (024) 777 854 155, marc.dupont@heig-vd.ch, MALE, EC, Assistant
EID_100049, Belmondo, Fabrice, (024) 777 339 149, fabrice.belmondo@heig-vd.ch, MALE, COMEM, Admin
EID_100050, Delon, Bernadette, (024) 777 415 221, bernadette.delon@heig-vd.ch, FEMALE, EC, Professor
EID_100051, Dupont, Charles, (024) 777 722 588, charles.dupont@heig-vd.ch, MALE, TIN, Professor
EID_100052, Bauer, Gilles, (024) 777 151 542, gilles.bauer@heig-vd.ch, MALE, DEPG, Student
EID_100053, Jones, Dorothé, (024) 777 103 453, dorothé.jones@heig-vd.ch, FEMALE, EC, Professor
EID_100054, Marchand, Lucien, (024) 777 397 219, lucien.marchand@heig-vd.ch, MALE, EC, Admin
